,timetweet,favcount,retwcount,id,name,text_clean,text_preprocessed,polarity_score,polarity
53,2022-10-21 11:47:28,0,0,1583424728005738496,JakartaIDNews,top story  lewat pse atau penyelenggara sistem elektronik kominfo isa lokir platform seperti tiktok faceook instagram dllnngimana menurut temen motionxfxfxax   see more,"['top', 'story', 'pse', 'selenggara', 'sistem', 'elektronik', 'kominfo', 'isa', 'lokir', 'platform', 'tiktok', 'faceook', 'instagram', 'dllnngimana', 'temen', 'motionxfxfxax', 'see', 'more']",4,positive
54,2022-10-21 11:44:54,0,0,1583424081021390849,fauziah_sifa28,meta ersama kominfo dan wir group hadirkan metaverse di ktt g xfxfxxaexfxfxxaxfxfxxann,"['meta', 'ersama', 'kominfo', 'wir', 'group', 'hadir', 'metaverse', 'ktt', 'g', 'xfxfxxaexfxfxxaxfxfxxann']",-1,negative
59,2022-10-21 11:35:44,0,16,1583421777157402624,rani_yurama,wisnu kominfo gelar pelatihan literasi digital agi guru di nttnn memerikan pelatihan literasi digital pada sejumlahxexxa,"['wisnu', 'kominfo', 'gelar', 'latih', 'literasi', 'digital', 'agi', 'guru', 'nttnn', 'meri', 'latih', 'literasi', 'digital', 'sejumlahxexxa']",7,positive
62,2022-10-21 11:31:31,0,1,1583420714475847681,CryptoKuta,dirjen aptika kominfosamuel arijani pangerapan nkominfo erkolaorasi dengan gnld sierkreasi hadir di wilayah sumatramxexxa,"['dirjen', 'aptika', 'kominfosamuel', 'arijani', 'pangerapan', 'nkominfo', 'erkolaorasi', 'gnld', 'sierkreasi', 'hadir', 'wilayah', 'sumatramxexxa']",-1,negative
63,2022-10-21 11:31:26,0,2,1583420693953200128,okijogjezz,menkominfo johnny g plate nnpemangunan infrastruktur digital menjadi agian penting pelaksanaan visi kimkementerian koxexxa,"['menkominfo', 'johnny', 'g', 'plate', 'nnpemangunan', 'infrastruktur', 'digital', 'agian', 'laksana', 'visi', 'kimkementerian', 'koxexxa']",2,positive
64,2022-10-21 11:31:24,1,1,1583420684444700673,CryptoKuta,dirjen aptika kominfosamuel arijani pangerapan nkominfo erkolaorasi dengan gnld sierkreasi hadir di wilayah sumatramenggelar pelatihan literasi digital agi masyarakatnn xexxcindonesia makin cakap digital xexxdnnkereeeennnn nn,"['dirjen', 'aptika', 'kominfosamuel', 'arijani', 'pangerapan', 'nkominfo', 'erkolaorasi', 'gnld', 'sierkreasi', 'hadir', 'wilayah', 'sumatramenggelar', 'latih', 'literasi', 'digital', 'agi', 'masyarakatnn', 'xexxcindonesia', 'cakap', 'digital', 'xexxdnnkereeeennnn', 'nn']",-2,negative
65,2022-10-21 11:31:10,0,16,1583420626844274689,rani_yurama,wisnu kominfo igdx  dorong lahirnya pengemang game esar di indonesiann juga mendorong insiatif salah satunya axexxa,"['wisnu', 'kominfo', 'igdx', 'dorong', 'lahir', 'emang', 'game', 'esar', 'indonesiann', 'dorong', 'insiatif', 'salah', 'satu', 'axexxa']",3,positive
66,2022-10-21 11:31:09,0,0,1583420621006188544,mediaindonesia,dukung perhelatan g kominfo lakukan kerjasama dengan media internasional,"['dukung', 'helat', 'g', 'kominfo', 'laku', 'kerjasama', 'media', 'internasional']",7,positive
69,2022-10-21 11:26:23,0,0,1583419423456534528,dowerrio,uka peluang kerja lulusan program dts kominfo gelar ootcamp xfxfxxfnn,"['uka', 'peluang', 'kerja', 'lulus', 'program', 'dts', 'kominfo', 'gelar', 'ootcamp', 'xfxfxxfnn']",9,positive
70,2022-10-21 11:26:15,0,0,1583419390120206336,RiopangestuCHE,dihack kominfo yak pong,"['dihack', 'kominfo', 'yak', 'pong']",0,neutral
72,2022-10-21 11:23:39,0,0,1583418732847960065,chandrayohanes,apasih yang kominfo gaisa,"['apasih', 'kominfo', 'gaisa']",-4,negative
74,2022-10-21 11:22:11,0,0,1583418364097331200,tb_aank,kehadiran ekseisi metaverse pada ktt g ertujuan untuk menunjukan manfaat metaverse ketika nanti hadir di duniannekseisi metaverse yang dihadirkan oleh meta kominfo dan wir group akan menunjukan sisi dua pilarnn,"['hadir', 'ekseisi', 'metaverse', 'ktt', 'g', 'ertujuan', 'tunjuk', 'manfaat', 'metaverse', 'hadir', 'duniannekseisi', 'metaverse', 'hadir', 'meta', 'kominfo', 'wir', 'group', 'tunjuk', 'sisi', 'pilarnn']",2,positive
75,2022-10-21 11:21:47,0,0,1583418265707352064,tb_aank,meta ersama kominfo dan wir group hadirkan metaverse di ktt gnnmeta ersama kementerian komunikasi dan informatika repulik indonesia kominfo serta wir group akan hadirkan metaverse di ktt g di ali,"['meta', 'ersama', 'kominfo', 'wir', 'group', 'hadir', 'metaverse', 'ktt', 'gnnmeta', 'ersama', 'menteri', 'komunikasi', 'informatika', 'repulik', 'indonesia', 'kominfo', 'wir', 'group', 'hadir', 'metaverse', 'ktt', 'g', 'ali']",-4,negative
79,2022-10-21 11:16:02,3,2,1583416815895445510,CryptoKuta,menkominfo johnny g plate nnpemangunan infrastruktur digital menjadi agian penting pelaksanaan visi kimkementerian kominfo akan terus memastikan konektivitas digital menjangkau seluruh wilayah di indonesiann  nn,"['menkominfo', 'johnny', 'g', 'plate', 'nnpemangunan', 'infrastruktur', 'digital', 'agian', 'laksana', 'visi', 'kimkementerian', 'kominfo', 'konektivitas', 'digital', 'jangkau', 'wilayah', 'indonesiann', 'nn']",2,positive
85,2022-10-21 11:02:18,0,0,1583413362599530497,DitjenAptika,xexxcsekolah merupakan tempat untuk memangun karakter dan mindset yang kuat sehingga para pelajar dapat mengetahui ahwa etika dan udaya di dunia digital tidak ada edanya dengan dunia nyataxexxdnnxexx onifasius wahyu pudjiantondirektur pemerdayaan informatika kementerian kominfo,"['xexxcsekolah', 'mangun', 'karakter', 'mindset', 'kuat', 'ajar', 'ahwa', 'etika', 'udaya', 'dunia', 'digital', 'edanya', 'dunia', 'nyataxexxdnnxexx', 'onifasius', 'wahyu', 'pudjiantondirektur', 'daya', 'informatika', 'menteri', 'kominfo']",-1,negative
86,2022-10-21 11:02:01,0,0,1583413292458180608,bhangantho,kominfo dari nasdem,"['kominfo', 'nasdem']",0,neutral
89,2022-10-21 10:58:43,1,0,1583412458298884096,bptj_cilacap,sahaat  npemeliharaan rutin jalan dan jematan npj wilayah cilacapnnn  n cilacap njtg,"['sahaat', 'npemeliharaan', 'rutin', 'jalan', 'jematan', 'npj', 'wilayah', 'cilacapnnn', 'n', 'cilacap', 'njtg']",0,neutral
107,2022-10-21 10:55:48,0,0,1583411724828704769,MOTION975FM,lewat pse atau penyelenggara sistem elektronik kominfo isa lokir platform seperti tiktok faceook instagram dllnngimana menurut temen motionxfxfxax,"['pse', 'selenggara', 'sistem', 'elektronik', 'kominfo', 'isa', 'lokir', 'platform', 'tiktok', 'faceook', 'instagram', 'dllnngimana', 'temen', 'motionxfxfxax']",-1,negative
112,2022-10-21 10:55:04,0,0,1583411543374381056,dowerrio,kominfo tak hanya jalan tol infrastruktur internet juga penting xfxfxxdnn n,"['kominfo', 'jalan', 'tol', 'infrastruktur', 'internet', 'xfxfxxdnn', 'n']",0,neutral
122,2022-10-21 10:53:11,0,0,1583411065517285377,bptj_cilacap,sahaat nnpemeliharaan rutin jalan dan jematannpj wilayah cilacapnn     cilacapn jtg,"['sahaat', 'nnpemeliharaan', 'rutin', 'jalan', 'jematannpj', 'wilayah', 'cilacapnn', 'cilacapn', 'jtg']",0,neutral
133,2022-10-21 10:49:54,0,0,1583410241764745221,cekokeoke,dear kominfo tolong ini dimasukin ke laman anti hoax kalian makasih,"['dear', 'kominfo', 'tolong', 'dimasukin', 'laman', 'anti', 'hoax', 'makasih']",0,neutral
138,2022-10-21 10:47:04,0,5,1583409526623326208,Cah_Beler,wisnu uka peluang kerja lulusan program dts kominfo gelar ootcampnn menggelar ootcamp untuk melatih dan menyalurkxexxa,"['wisnu', 'uka', 'peluang', 'kerja', 'lulus', 'program', 'dts', 'kominfo', 'gelar', 'ootcampnn', 'gelar', 'ootcamp', 'latih', 'menyalurkxexxa']",12,positive
139,2022-10-21 10:46:04,0,0,1583409277339062272,diskominfobatam,surat terseut menyeutkan ahwa pihak konsil tenaga kesehatan indonesia ktki dan majelis tenaga kesehatan indonesia mtki kemenkes ri telah memuka kuota antuan iaya pengurusan str nakesnnfakta selengkapnya kunjungi wesite,"['surat', 'terseut', 'menyeutkan', 'ahwa', 'konsil', 'tenaga', 'sehat', 'indonesia', 'ktki', 'majelis', 'tenaga', 'sehat', 'indonesia', 'mtki', 'kemenkes', 'ri', 'muka', 'kuota', 'antuan', 'iaya', 'urus', 'str', 'nakesnnfakta', 'lengkap', 'kunjung', 'wesite']",9,positive
140,2022-10-21 10:45:50,0,0,1583409217121423360,ngalap1berkah,penyelenggaraan pelatihan dikemas leih aplikatif dengan mengenalkan lingkungan kerja oleh karena itu kementerian kominfo ekerja sama dengan metrodata academy melakukan pelatihan intensif secara daringn,"['selenggara', 'latih', 'kemas', 'leih', 'aplikatif', 'kenal', 'lingkung', 'kerja', 'menteri', 'kominfo', 'ekerja', 'metrodata', 'academy', 'latih', 'intensif', 'daringn']",7,positive
150,2022-10-21 10:40:05,0,0,1583407768966688769,Marbot_Udien,wisnu  yantie   nakula    eksiisi teknologi metaverse pada pertemuan puncak g ini akan menyimpulkan kolaorasi yang dilakukan dengan kominfo dan mitramitra lainnya termasuk wir group dan central for digital societycfds universitas gadjah mada untuk mendukung dewg gn,"['wisnu', 'yantie', 'nakula', 'eksiisi', 'teknologi', 'metaverse', 'temu', 'puncak', 'g', 'simpul', 'kolaorasi', 'kominfo', 'mitramitra', 'wir', 'group', 'central', 'for', 'digital', 'societycfds', 'universitas', 'gadjah', 'mada', 'dukung', 'dewg', 'gn']",6,positive
152,2022-10-21 10:37:31,0,5,1583407124750962688,Marbot_Udien,wisnu meta ersama kominfo dan wir group hadirkan metaverse di ktt gnnkehadiran ekseisi metaverse pada ktt g ertujuan untuxexxa,"['wisnu', 'meta', 'ersama', 'kominfo', 'wir', 'group', 'hadir', 'metaverse', 'ktt', 'gnnkehadiran', 'ekseisi', 'metaverse', 'ktt', 'g', 'ertujuan', 'untuxexxa']",-1,negative
157,2022-10-21 10:35:49,0,1,1583406696474370048,ilyongyong,as  kl tuel ke stan lagi hampir ga mungkin kecuali ada kerjasama dg unit asalmu ns amil tuel s dari appenxexxa,"['as', 'kl', 'tuel', 'stan', 'ga', 'kecuali', 'kerjasama', 'dg', 'unit', 'asal', 'ns', 'amil', 'tuel', 's', 'appenxexxa']",-1,negative
158,2022-10-21 10:35:44,0,0,1583406677457784833,ngalap1berkah,wisnu  yantie   nakula    meta ersama kementerian kominfo serta wir group akan hadirkan metaverse di ktt g di alin,"['wisnu', 'yantie', 'nakula', 'meta', 'ersama', 'menteri', 'kominfo', 'wir', 'group', 'hadir', 'metaverse', 'ktt', 'g', 'alin']",-1,negative
160,2022-10-21 10:35:18,0,1,1583406567067906048,pringadi_as,kl tuel ke stan lagi hampir ga mungkin kecuali ada kerjasama dg unit asalmu ns amil tuel s dari appenas kominfo dll anyak kok ke univ dalam negeri ini penawarannya teruka ke semua pns,"['kl', 'tuel', 'stan', 'ga', 'kecuali', 'kerjasama', 'dg', 'unit', 'asal', 'ns', 'amil', 'tuel', 's', 'appenas', 'kominfo', 'dll', 'anyak', 'univ', 'negeri', 'tawar', 'teruka', 'pns']",-5,negative
162,2022-10-21 10:34:34,0,0,1583406381272825857,Elbarak_,wisnu  yantie   nakula    mantap punya meta dan kominfo dan wir grup hadirkan metaverse di ktt gn,"['wisnu', 'yantie', 'nakula', 'mantap', 'meta', 'kominfo', 'wir', 'grup', 'hadir', 'metaverse', 'ktt', 'gn']",0,neutral
164,2022-10-21 10:34:16,0,0,1583406306656161792,Elbarak_,mantap punya meta dan kominfo dan wir grup hadirkan metaverse di ktt gn,"['mantap', 'meta', 'kominfo', 'wir', 'grup', 'hadir', 'metaverse', 'ktt', 'gn']",0,neutral
167,2022-10-21 10:29:23,0,0,1583405076366131200,Cah_Beler,menteri kominfo johnny g plate mengatakan pemerintah erkomitmen untuk terus memangun infrastruktur digital yang masif dan merata di indonesian,"['menteri', 'kominfo', 'johnny', 'g', 'plate', 'perintah', 'erkomitmen', 'mangun', 'infrastruktur', 'digital', 'masif', 'rata', 'indonesian']",-4,negative
168,2022-10-21 10:29:19,0,0,1583405062331674629,bptj_cilacap,pemeliharaan rutin jalan dan jematan npj wilayah cilacapnnnn nn nnnn ncilacapn nnnjtgn n,"['pelihara', 'rutin', 'jalan', 'jematan', 'npj', 'wilayah', 'cilacapnnnn', 'nn', 'nnnn', 'ncilacapn', 'nnnjtgn', 'n']",3,positive
171,2022-10-21 10:27:37,1,0,1583404633396891648,fakeloveros,lama aku kudu protes nih ke kominfo xfxfxxaxfxfxxaxfxfxxa menghamat orang aca iwaoi aja dehhh huftnnhihihiw siaapp semoga nanti keuka xfxfxxc,"['kudu', 'protes', 'nih', 'kominfo', 'xfxfxxaxfxfxxaxfxfxxa', 'menghamat', 'orang', 'aca', 'iwaoi', 'aja', 'dehhh', 'huftnnhihihiw', 'siaapp', 'moga', 'keuka', 'xfxfxxc']",-1,negative
172,2022-10-21 10:27:19,0,0,1583404556578607104,ngalap1berkah,menurut menteri johnny pemangunan infrastruktur digital menjadi agian penting pelaksanaan visi kim oleh karena itu kementerian kominfo akan terus memastikan konektivitas digital menjangkau seluruh wilayah di indonesian,"['menteri', 'johnny', 'mangun', 'infrastruktur', 'digital', 'agian', 'laksana', 'visi', 'kim', 'menteri', 'kominfo', 'konektivitas', 'digital', 'jangkau', 'wilayah', 'indonesian']",2,positive
173,2022-10-21 10:27:09,0,0,1583404516615294978,idntimes,generasi muda ialah kunci ciptakan generasi eas stunting,"['generasi', 'muda', 'kunci', 'cipta', 'generasi', 'eas', 'stunting']",-5,negative
175,2022-10-21 10:23:18,1,0,1583403548502806533,diskominfolutim,xfxdxxcxfxdxxaxfxdxxexfxdxxaxfxdxxaxfxdxxaxfxdxxa xfxdxxcxfxdxxxfxdxxaxfxdxxexfxdxxaxfxdxxexfxdxxaxfxdxxaxfxdxxaxfxdxxxfxdxxaxfxdxxe xfxdxxxfxdxxaxfxdxxaaxfxdxxa xfxdxxdxfxdxxaaxfxdxxaxfxdxx xfxdxxxfxdxxaxfxdxxaxfxdxxxfxdxx xfxdxxxfxdxxaxfxdxxaxfxdxxaexfxdxxxfxdxxaxfxdxxxfxdxxaa xfxdxxxfxdxxxfxdxxaxfxdxxaxfxdxxexfxdxx xfxdxxfxfxdxxexfxdxxaxfxdxxcxfxdxxaxfxdxxxfxdxxa xfxdxxxfxdxxaxfxdxxaxfxdxxaxfxdxxexfxdxxaxfxdxxaxfxdxxe xfxdxxexfxdxxaaxfxdxxaxfxdxxaxfxdxxaxfxdxxa xfxdxxxfxdxxe xfxdxxfxfxdxxaxfxdxxaxfxdxx xfxdxxdxfxdxxxfxdxxaxfxdxxaaxfxdxxcxfxdxxnnaca di xfxfxx,"['xfxdxxcxfxdxxaxfxdxxexfxdxxaxfxdxxaxfxdxxaxfxdxxa', 'xfxdxxcxfxdxxxfxdxxaxfxdxxexfxdxxaxfxdxxexfxdxxaxfxdxxaxfxdxxaxfxdxxxfxdxxaxfxdxxe', 'xfxdxxxfxdxxaxfxdxxaaxfxdxxa', 'xfxdxxdxfxdxxaaxfxdxxaxfxdxx', 'xfxdxxxfxdxxaxfxdxxaxfxdxxxfxdxx', 'xfxdxxxfxdxxaxfxdxxaxfxdxxaexfxdxxxfxdxxaxfxdxxxfxdxxaa', 'xfxdxxxfxdxxxfxdxxaxfxdxxaxfxdxxexfxdxx', 'xfxdxxfxfxdxxexfxdxxaxfxdxxcxfxdxxaxfxdxxxfxdxxa', 'xfxdxxxfxdxxaxfxdxxaxfxdxxaxfxdxxexfxdxxaxfxdxxaxfxdxxe', 'xfxdxxexfxdxxaaxfxdxxaxfxdxxaxfxdxxaxfxdxxa', 'xfxdxxxfxdxxe', 'xfxdxxfxfxdxxaxfxdxxaxfxdxx', 'xfxdxxdxfxdxxxfxdxxaxfxdxxaaxfxdxxcxfxdxxnnaca', 'xfxfxx']",0,neutral
177,2022-10-21 10:22:17,0,0,1583403290083352582,Marbot_Udien,wisnu  kementerian kominfo erkolaorasi dengan gerakan nasional literasi digital gnld sierkreasi kemali hadir di wilayah sumatra dan sekitarnya menggelar pelatihan literasi digital agi masyarakat melalui program xexxcindonesia makin cakap digital xexxdn,"['wisnu', 'menteri', 'kominfo', 'erkolaorasi', 'gera', 'nasional', 'literasi', 'digital', 'gnld', 'sierkreasi', 'kemal', 'hadir', 'wilayah', 'sumatra', 'gelar', 'latih', 'literasi', 'digital', 'agi', 'masyarakat', 'program', 'xexxcindonesia', 'cakap', 'digital', 'xexxdn']",0,neutral
178,2022-10-21 10:20:24,0,4,1583402819037843458,Marbot_Udien,wisnu kominfo dan sierkreasi gelar weinar literasi digital di sumatrann erkolaorasi dengan gerakan nasional literxexxa,"['wisnu', 'kominfo', 'sierkreasi', 'gelar', 'weinar', 'literasi', 'digital', 'sumatrann', 'erkolaorasi', 'gera', 'nasional', 'literxexxa']",2,positive
185,2022-10-21 10:13:20,0,4,1583401038861996032,Marbot_Udien,wisnu kominfo tak hanya jalan tol infrastruktur internet juga pentingnninfrastruktur itu tidak hanya jalan tol tidak hanya pexexxa,"['wisnu', 'kominfo', 'jalan', 'tol', 'infrastruktur', 'internet', 'pentingnninfrastruktur', 'jalan', 'tol', 'pexexxa']",0,neutral
186,2022-10-21 10:12:08,0,15,1583400735961595907,rani_yurama,wisnu topang ekonomi digital kominfo dukung pengemangan industri gimnn menginisiasi igdx program yang sudah dimulaxexxa,"['wisnu', 'topang', 'ekonomi', 'digital', 'kominfo', 'dukung', 'emang', 'industri', 'gimnn', 'inisiasi', 'igdx', 'program', 'dimulaxexxa']",4,positive
191,2022-10-21 10:04:51,0,0,1583398905475059712,bptj_cilacap,sahaat  npemeliharaan rutin jalan dan jematan npj wilayah cilacapnn n  n cilacap njtg clp,"['sahaat', 'npemeliharaan', 'rutin', 'jalan', 'jematan', 'npj', 'wilayah', 'cilacapnn', 'n', 'n', 'cilacap', 'njtg', 'clp']",0,neutral
